geometry.coordinates	route_name	name	stop_number	stop_modifier
144.9466477,-37.8145434	Tram 30: Central Pier => St Vincent's Plaza	Stop D1: Docklands Stadium	1	
144.9466477,-37.8145434	Tram 35: Waterfront City => La Trobe Street => Flinders Street => Waterfront City	Stop D1: Docklands Stadium	1	
144.9466477,-37.8145434	Tram 86: Waterfront City => RMIT University Bundoora Campus	Stop D1: Docklands Stadium	1	
144.9867863,-37.8241543	Tram 70: Waterfront City => Wattle Park	AAMI Park	7	
144.9759769,-37.8182334	Tram 70: Waterfront City => Wattle Park	William Barak Bridge	7	7A
145.0958318,-37.8504122	Tram 75: Vermont South Shopping Centre => Central Pier	Warrigal Road	58	
144.9728292,-37.8078641	Tram 30: Central Pier => St Vincent's Plaza	Nicholson Street	10	
144.9728292,-37.8078641	Tram 35: Waterfront City => La Trobe Street => Flinders Street => Waterfront City	Nicholson Street	10	
145.0605839,-37.8109253	Tram 72: Camberwell => Melbourne University	Cotham Road	70	
145.0605839,-37.8109253	Tram 72: Melbourne University => Camberwell	Cotham Road	70	
144.945192,-37.8215392	Tram 11: West Preston => Victoria Harbour	Stop D17: Collins Landing	17	
144.945192,-37.8215392	Tram 48: North Balwyn => Victoria Harbour	Stop D17: Collins Landing	17	
144.9772792,-37.8590039	Tram 96: St Kilda Beach => East Brunswick	St Kilda Station	132	
144.9558367,-37.8208396	Tram 70: Waterfront City => Wattle Park	Spencer Street	1	
144.9558367,-37.8208396	Tram 75: Central Pier => Vermont South Shopping Centre	Spencer Street	1	
144.9664432,-37.8177957	Tram 35: Waterfront City => La Trobe Street => Flinders Street => Waterfront City	Flinders Street Station, Swanston Street	5	
144.9664432,-37.8177957	Tram 70: Wattle Park => Waterfront City	Flinders Street Station, Swanston Street	5	
144.9664432,-37.8177957	Tram 75: Vermont South Shopping Centre => Central Pier	Flinders Street Station, Swanston Street	5	
144.9709587,-37.8075899	Tram 30: St Vincent's Plaza => Central Pier	La Trobe Street	9	
144.9735633,-37.807982	Tram 30: St Vincent's Plaza => Central Pier	Nicholson Street	10	
144.9494877,-37.805171	Tram 57: Flinders Street railway station => West Maribyrnong	Errol Street	11	
144.9493079,-37.8049413	Tram 57: West Maribyrnong => Flinders Street railway station	Victoria Street	11	
144.9495557,-37.8032545	Tram 57: Flinders Street railway station => West Maribyrnong	North Melbourne Town Hall	12	
144.9638048,-37.7304084	Tram 19: Flinders Street railway station => North Coburg	Mercy College	39	
144.9712816,-37.8289518	Tram 16: Kew => Melbourne University	Shrine of Remembrance	19	
